X,Y,fid,codi_centre,tipus_centre,nom_centre,nom_municipi,nom_naturalesa,al_eso_n1,al_eso_n2,al_eso_n3,al_eso_n4,gr_eso_n1,gr_eso_n2,gr_eso_n3,gr_eso_n4,icon_url
1.38187769938612,41.5316840959012,1109,"43006708",Institut,Joan Segura i Valls,Santa Coloma de Queralt,Públic,37,35,45,39,2,2,2,2,./0.png
1.40112334611274,41.1503936524252,1110,"43006952",Institut,Torredembarra,Torredembarra,Públic,99,125,116,131,3,4,4,5,./0.png
0.722948655751223,40.7220697103514,1111,"43006964",Institut,de Deltebre,Deltebre,Públic,142,130,119,114,5,4,4,4,./0.png
0.798429768227055,40.8822822759979,1112,"43006976",Institut,Candelera,L'Ametlla de Mar,Públic,68,68,68,76,3,3,3,3,./0.png
0.475264949985116,40.5392423429374,1113,"43007087",Institut,Sòl de Riu,Alcanar,Públic,85,88,92,99,3,3,3,4,./0.png
0.63302697245632,41.0865675855964,1114,"43007129",Institut,Julio Antonio,Móra d'Ebre,Públic,95,95,73,55,3,3,3,2,./0.png
1.10060892202773,41.1668619554062,1115,"43007166",Institut,Lluís Domènech i Montaner,Reus,Públic,115,115,95,130,4,4,3,4,./0.png
0.918325704338195,40.991750987842,1116,"43007208",Institut,Berenguer d'Entença,Vandellòs i l'Hospitalet de l'Infant,Públic,91,83,99,79,3,3,3,3,./0.png
0.587439574646535,40.6230223247786,1117,"43007221",Institut,Els Alfacs,Sant Carles de la Ràpita,Públic,134,120,152,119,5,4,5,5,./0.png
0.544057886970081,41.2266633793405,1118,"43007233",Institut,de Flix,Flix,Públic,50,65,51,49,2,2,2,2,./0.png
1.5667458686432,41.1958009973413,1119,"43007257",Institut,Camí de Mar,Calafell,Públic,159,160,144,148,5,5,5,5,./0.png
1.13394809252477,41.0823904520402,1120,"43007543",Institut,Jaume I,Salou,Públic,127,133,137,157,4,4,5,5,./0.png
1.59704107389263,41.2690742600311,1121,"43007580",Institut,de L'Arboç,L'Arboç,Públic,126,127,122,146,4,4,4,5,./0.png
1.21774188379928,41.1530638951993,1122,"43007646",Institut,de Constantí,Constantí,Públic,61,74,78,66,2,3,3,3,./0.png
1.05304295809744,41.1419161388981,1123,"43007658",Institut,Joan Guinjoan i Gispert,Riudoms,Públic,146,141,118,133,5,5,4,5,./0.png
1.41293766191687,41.1502938914097,1124,"43007661",Institut,Ramon de la Torre,Torredembarra,Públic,125,126,139,120,4,4,5,4,./0.png
1.21578865613881,41.1228635804246,1125,"43008390",Institut,Torreforta,Tarragona,Públic,140,117,118,143,5,4,4,5,./0.png
1.20219045942306,41.1919002538411,1126,"43008407",Institut,El Morell,El Morell,Públic,137,152,120,126,5,5,4,5,./0.png
0.658462055028764,40.7656105482252,1127,"43008419",Institut,Camarles,Camarles,Públic,93,78,74,79,3,3,3,3,./0.png
0.498715603086667,40.8228829172691,1128,"43008420",Institut,Roquetes,Roquetes,Públic,103,92,118,110,4,3,4,4,./0.png
1.24724835970031,41.1397196754734,1129,"43008432",Institut,Sant Pere i Sant Pau,Tarragona,Públic,110,129,121,122,4,4,4,4,./0.png
1.11662833947746,41.1371450136115,1130,"43008444",Institut,Josep Tapiró,Reus,Públic,83,105,119,114,3,4,4,4,./0.png
0.488614096237542,40.7116355479721,1131,"43008456",Institut,Les Planes,Santa Bàrbara,Públic,42,49,69,65,2,2,3,3,./0.png
1.18788288560506,41.1205193226674,1132,"43008481",Institut,Collblanc,La Canonja,Públic,134,115,148,142,5,4,5,5,./0.png
1.24122729844215,41.1582543667899,1133,"43008501",Institut,Pont del Diable,Tarragona,Públic,66,66,64,66,3,2,2,2,./0.png
1.13258743988417,41.2109446004132,1134,"43008511",Institut,Joan Puig i Ferreter,La Selva del Camp,Públic,90,99,100,96,3,3,4,4,./0.png
1.14960071109243,41.1030866303755,1135,"43008523",Institut,Vila-seca,Vila-seca,Públic,138,143,137,148,5,5,5,5,./0.png
0.964764267220907,41.08353114139,1136,"43008638",Institut,Antoni Ballester,Mont-roig del Camp,Públic,73,53,92,51,3,2,3,2,./0.png
1.15706564211048,41.3766586250617,1137,"43009187",Institut,Martí l'Humà,Montblanc,Públic,85,89,85,102,3,3,3,3,./0.png
1.16628650570484,41.2608937202992,1138,"43009497",Institut,Fonts del Glorieta,Alcover,Públic,63,69,42,76,2,3,2,3,./0.png
1.6238492064817,41.1955320753268,1139,"43009850",Institut,Ernest Lluch i Martí,Cunit,Públic,155,164,166,128,5,5,5,5,./0.png
1.37862771192647,41.1464935602931,1140,"43009977",Institut,d'Altafulla,Altafulla,Públic,111,128,121,110,4,4,4,4,./0.png
1.55391040159882,41.2166911385255,1141,"43010189",Institut,Mediterrània,El Vendrell,Públic,108,121,115,117,4,4,4,4,./0.png
1.08689076652889,41.073453963317,1142,"43010335",Institut,La Mar de la Frau,Cambrils,Públic,90,93,90,98,3,3,3,3,./0.png
1.12748480913145,41.0830883963926,1143,"43010347",Institut,Marta Mata,Salou,Públic,105,122,116,152,4,5,4,5,./0.png
1.60306745436436,41.2019854214608,1144,"43010372",Institut,La Talaia,Calafell,Públic,147,132,138,157,5,4,5,5,./0.png
1.48992495419952,41.2750949087142,1145,"43010414",Institut,Coster de la Torre,La Bisbal del Penedès,Públic,150,164,152,152,5,5,5,5,./0.png
1.02751164922751,41.1719396118139,1146,"43010578",Institut,Fontanelles,Les Borges del Camp,Públic,97,105,92,124,3,4,3,4,./0.png
1.25226606680648,41.2866793231468,1147,"43010608",Institut,Serra de Miramar,Valls,Públic,88,94,98,96,3,3,3,3,./0.png
1.27632518449081,41.173823842335,1148,"43010748",Institut,Els Pallaresos,Els Pallaresos,Públic,94,145,121,136,3,5,4,5,./0.png
1.11526656112822,41.1466801597181,1149,"43010852",Institut,Roseta Mauri,Reus,Públic,120,147,155,161,4,5,5,5,./0.png
0.582373746704516,40.7082676736226,1150,"43010888",Institut,de Tecnificació,Amposta,Públic,60,66,78,72,2,2,3,3,./0.png
0.52448547746716,40.7987067963286,1151,"43011170",Institut,Cristòfol Despuig,Tortosa,Públic,71,91,90,96,3,3,3,3,./0.png
1.45198519035423,41.1835933975986,1152,"43011418",Institut,Roda de Berà,Roda de Berà,Públic,79,99,68,70,3,4,3,3,./0.png
1.24625226106366,41.119322939813,1153,"43011479",Institut,Tarragona,Tarragona,Públic,119,119,128,133,4,4,4,4,./0.png
1.1183800846224,41.1595735027202,1154,"43012083",Institut Escola,Pi del Burgar,Reus,Públic,62,61,64,63,2,2,2,2,./0.png
0.31415032592639,41.0918485334383,1155,"43012113",Institut Escola,Mare de Déu del Portal,Batea,Públic,17,34,21,17,1,2,1,1,./0.png
0.652395507867534,41.0992127934407,1156,"43012289",Institut Escola,3 d'Abril,Móra la Nova,Públic,32,33,26,37,2,2,1,2,./0.png
0.507720773340617,40.824597778117,1157,"43012307",Institut Escola,Daniel Mangrané,Tortosa,Públic,51,42,56,54,2,2,2,2,./0.png
0.709160080624505,40.8756240752719,1158,"43012319",Institut Escola,El Perelló,El Perelló,Públic,31,51,43,38,1,2,2,2,./0.png
1.14975396895912,41.092682875704,1159,"43012666",,EIC,Salou,Privat,55,56,57,58,,,,,./0.png
1.32985758341943,41.1752039195481,1160,"43012812",Institut Escola,L'Agulla,El Catllar,Públic,23,42,36,47,1,2,2,2,./0.png
1.20164926411293,41.1155982694329,1161,"43012976",Institut Escola,Mediterrani,Tarragona,Públic,20,24,12,16,1,1,1,1,./0.png
0.924785420874926,41.0070824973395,1162,"43012988",Institut,de Miami,Mont-roig del Camp,Públic,57,54,59,78,2,2,2,3,./0.png
1.53026298967425,41.2255490530194,1163,"43013075",Institut Escola,Àngel de Tobies,El Vendrell,Públic,36,33,48,54,2,2,2,2,./0.png
0.904190522953757,41.2612455446323,1164,"43013087",Institut Escola,Corbatera,Cornudella de Montsant,Públic,18,24,10,17,1,1,1,1,./0.png
0.583842168704856,40.7087697897477,1165,"43013099",Institut Escola,Agustí Barberà,Amposta,Públic,52,62,60,58,2,2,2,2,./0.png
1.52437521803503,41.1884800820224,1166,"43013129",Institut Escola,Coma-ruga,El Vendrell,Públic,55,71,53,45,2,3,2,2,./0.png
1.04665281003113,41.0754198913853,1167,"43013130",Institut Escola,Joan Ardèvol,Cambrils,Públic,53,55,60,63,2,2,2,2,./0.png
0.521952429844348,40.8031829040815,1168,"43013142",Institut Escola,El Temple,Tortosa,Públic,51,50,62,30,2,2,2,1,./0.png
1.27105828243453,41.1156334303386,1169,"43013191",Institut Escola,l'Arrabassada,Tarragona,Públic,45,50,0,0,2,2,,,./0.png
